date,D. acuminata,D. acuta,D. norvegica
2017-02-26,0,0,0
2017-03-06,0,0,0
2017-03-13,0,0,0
2017-03-20,0,0,0
2017-03-27,0,0,0
2017-04-03,0,0,0
2017-04-18,0,0,0
2017-04-24,0,0,0
2017-05-02,0,0,0
2017-05-08,0,0,0
2017-05-22,0,0,0
2017-05-29,0,0,0
2017-06-06,0,0,0
2017-06-12,0,0,0
2017-06-19,0,0,0
2017-06-26,0,0,0
2017-07-03,0,0,0
2017-07-10,0,0,0
2017-07-17,0,0,0
2017-07-24,80,0,0
2017-07-31,800,0,0
2017-08-07,0,0,0
2017-08-14,160,0,0
2017-08-21,1200,0,40
2017-08-28,160,0,0
2017-09-11,40,0,0
2017-09-18,40,0,40
2017-09-25,0,0,0
2017-10-02,0,0,0
2017-10-09,80,40,0
2017-10-16,40,0,0
2017-10-23,0,0,0
2017-10-30,0,0,0
2018-03-20,0,0,0
2018-04-04,0,0,0
2018-04-09,0,0,0
2018-04-16,0,0,0
2018-04-23,0,0,0
2018-04-30,0,0,0
2018-05-07,0,0,0
2018-05-14,0,0,0
2018-05-22,0,0,0
2018-05-28,0,0,0
2018-06-04,0,0,0
2018-06-11,0,0,0
2018-06-18,0,0,0
2018-06-25,0,0,0
2018-07-02,0,0,0
2018-07-09,0,0,0
2018-07-23,0,0,0
2018-07-30,0,0,0
2018-08-06,0,0,40
2018-08-13,0,0,0
2018-08-20,0,0,0
2018-08-27,0,0,0
2018-09-03,0,0,80
2018-09-10,120,0,160
2018-09-17,160,0,80
2018-09-24,0,0,0
2018-10-01,0,0,0
2018-10-08,0,0,0
2018-10-15,40,0,0
2018-10-22,40,0,0
2018-10-29,0,0,0
2019-03-18,0,0,0
2019-03-25,0,0,0
2019-04-01,0,0,0
2019-04-08,0,0,0
2019-04-23,0,0,0
2019-04-30,0,0,0
2019-05-06,0,0,0
2019-05-13,0,0,0
2019-05-20,0,0,0
2019-05-27,0,0,0
2019-06-03,0,0,0
2019-06-11,0,0,0
2019-06-17,0,0,0
2019-06-24,0,0,0
2019-07-08,0,0,0
2019-07-15,0,0,0
2019-07-22,0,0,0
2019-07-29,40,0,0
2019-08-12,80,0,0
2019-08-19,80,0,80
2019-08-26,280,0,0
2019-09-02,80,0,40
2019-09-09,80,80,0
2019-09-16,0,0,0
2019-09-23,0,0,0
2019-09-30,0,40,0
2019-10-07,0,0,0
2019-10-14,0,0,0
2019-10-21,0,0,0
2019-10-28,0,0,0
